villagecode,districtid,district,subcountyid,subcounty,parishid,parish,villageid,village
181100603,181,MAYUGE,10,KIGANDALO,06,MALEKA,03,MABIRIZI
181100604,181,MAYUGE,10,KIGANDALO,06,MALEKA,04,MALEKA A
181100605,181,MAYUGE,10,KIGANDALO,06,MALEKA,05,MALEKA B
181100606,181,MAYUGE,10,KIGANDALO,06,MALEKA,06,NAKITWALO
181100607,181,MAYUGE,10,KIGANDALO,06,MALEKA,07,WANKONGE
181110101,181,MAYUGE,11,KITYERERA,01,BUBINGE,01,BUBINGE
181110102,181,MAYUGE,11,KITYERERA,01,BUBINGE,02,BULIDHA
181110103,181,MAYUGE,11,KITYERERA,01,BUBINGE,03,BUSIMO
181110104,181,MAYUGE,11,KITYERERA,01,BUBINGE,04,IGUNDA
181110105,181,MAYUGE,11,KITYERERA,01,BUBINGE,05,KIKANDWA
181110201,181,MAYUGE,11,KITYERERA,02,BUKALENZI,01,BUKALENZI
181110202,181,MAYUGE,11,KITYERERA,02,BUKALENZI,02,BUKOBA A
181110203,181,MAYUGE,11,KITYERERA,02,BUKALENZI,03,BUKOBA 'B'
181110204,181,MAYUGE,11,KITYERERA,02,BUKALENZI,04,BUKOBA CENTRAL
181110205,181,MAYUGE,11,KITYERERA,02,BUKALENZI,05,BUKUKU
181110206,181,MAYUGE,11,KITYERERA,02,BUKALENZI,06,LUTALE 'A'
181110207,181,MAYUGE,11,KITYERERA,02,BUKALENZI,07,LUTALE D
181110208,181,MAYUGE,11,KITYERERA,02,BUKALENZI,08,MASHANGA A
181110209,181,MAYUGE,11,KITYERERA,02,BUKALENZI,09,MASHANGA B
181110210,181,MAYUGE,11,KITYERERA,02,BUKALENZI,10,NAMALERE
181110211,181,MAYUGE,11,KITYERERA,02,BUKALENZI,11,NGAYAMA
181110301,181,MAYUGE,11,KITYERERA,03,KITOVU,01,KABAGANJA
181110302,181,MAYUGE,11,KITYERERA,03,KITOVU,02,KIKOMA
181110303,181,MAYUGE,11,KITYERERA,03,KITOVU,03,KITOVU
181110304,181,MAYUGE,11,KITYERERA,03,KITOVU,04,LUTALE 'B'
181110305,181,MAYUGE,11,KITYERERA,03,KITOVU,05,LUTALE C
181110306,181,MAYUGE,11,KITYERERA,03,KITOVU,06,MITIMITO
181110307,181,MAYUGE,11,KITYERERA,03,KITOVU,07,NTAMBI
181110401,181,MAYUGE,11,KITYERERA,04,NDAIGA,01,BUBALULE A
181110402,181,MAYUGE,11,KITYERERA,04,NDAIGA,02,BUBALULE B
181110403,181,MAYUGE,11,KITYERERA,04,NDAIGA,03,NAKIRIMIRA A
181110404,181,MAYUGE,11,KITYERERA,04,NDAIGA,04,NAKIRIMIRA B
181110405,181,MAYUGE,11,KITYERERA,04,NDAIGA,05,NAKIRIMIRA C
181110406,181,MAYUGE,11,KITYERERA,04,NDAIGA,06,NDAIGA A
181110407,181,MAYUGE,11,KITYERERA,04,NDAIGA,07,NDAIGA B
181110408,181,MAYUGE,11,KITYERERA,04,NDAIGA,08,NDAIGA C
181110501,181,MAYUGE,11,KITYERERA,05,WANDEGEYA,01,KATUBA
181110502,181,MAYUGE,11,KITYERERA,05,WANDEGEYA,02,NENDA A
181110503,181,MAYUGE,11,KITYERERA,05,WANDEGEYA,03,NENDA B
181110504,181,MAYUGE,11,KITYERERA,05,WANDEGEYA,04,WAKIWUNGU
181110505,181,MAYUGE,11,KITYERERA,05,WANDEGEYA,05,WANDEGEYA A
181110506,181,MAYUGE,11,KITYERERA,05,WANDEGEYA,06,WANDEGEYA B
181120101,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,01,BUKOLI WARD,01,BUKOLI A
181120102,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,01,BUKOLI WARD,02,BUKOLI B
181120103,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,01,BUKOLI WARD,03,BUKOLI C
181120104,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,01,BUKOLI WARD,04,MUTUKULA
181120201,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,02,MAGAMAGA WARD,01,KAWUDHU
181120202,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,02,MAGAMAGA WARD,02,MAGAMAGA T/C
181120203,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,02,MAGAMAGA WARD,03,MARKET ZONE
181120204,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,02,MAGAMAGA WARD,04,TASAGA
181120301,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,01,BODA
181120302,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,02,BRIDGE
181120303,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,03,DONGA
181120304,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,04,MUYENGA
181120305,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,05,NAKASERO
181120306,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,06,NAMUFUNA
181120307,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,03,WABULUNGU WARD,07,WABULUNGU A
181120401,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,04,WANDAGO WARD,01,CHURCH OF UGANDA
181120402,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,04,WANDAGO WARD,02,ISIIKO
181120403,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,04,WANDAGO WARD,03,WANDAGO A
181120404,181,MAYUGE,12,MAGAMAGA TOWN COUNCIL,04,WANDAGO WARD,04,WANDAGO B
181130101,181,MAYUGE,13,MALONGO,01,BUKATABIRA,01,BUKATABIRA A
181130102,181,MAYUGE,13,MALONGO,01,BUKATABIRA,02,BUKATABIRA B
181130103,181,MAYUGE,13,MALONGO,01,BUKATABIRA,03,NKOLONGO
181130104,181,MAYUGE,13,MALONGO,01,BUKATABIRA,04,NKOLONGO A
181130105,181,MAYUGE,13,MALONGO,01,BUKATABIRA,05,NKOLONGO B
181130106,181,MAYUGE,13,MALONGO,01,BUKATABIRA,06,NKOLONGO C
181130201,181,MAYUGE,13,MALONGO,02,BULUTA,01,BUKAGABO 'A' BEACH
181130202,181,MAYUGE,13,MALONGO,02,BULUTA,02,BUKAGABO 'A' VILLAGE
181130203,181,MAYUGE,13,MALONGO,02,BULUTA,03,BUKAGABO 'B' BEACH
181130204,181,MAYUGE,13,MALONGO,02,BULUTA,04,BUKAGABO 'B' VILLAGE
181130205,181,MAYUGE,13,MALONGO,02,BULUTA,05,BUKAGABO C
181130206,181,MAYUGE,13,MALONGO,02,BULUTA,06,BULUTA A
181130207,181,MAYUGE,13,MALONGO,02,BULUTA,07,BULUTA B
181130208,181,MAYUGE,13,MALONGO,02,BULUTA,08,BULUTA BULAIRE
181130209,181,MAYUGE,13,MALONGO,02,BULUTA,09,BULUTA C
181130210,181,MAYUGE,13,MALONGO,02,BULUTA,10,BULUTA IKOLE
181130211,181,MAYUGE,13,MALONGO,02,BULUTA,11,BULUTA KITOGO
181130212,181,MAYUGE,13,MALONGO,02,BULUTA,12,MALINDI
181130301,181,MAYUGE,13,MALONGO,03,BUMWENA,01,BUGATA
181130302,181,MAYUGE,13,MALONGO,03,BUMWENA,02,BUGOOMA BEACH
181130303,181,MAYUGE,13,MALONGO,03,BUMWENA,03,BULEBI
181130304,181,MAYUGE,13,MALONGO,03,BUMWENA,04,BULUBUDHE
181130305,181,MAYUGE,13,MALONGO,03,BUMWENA,05,BUMWENA A
181130306,181,MAYUGE,13,MALONGO,03,BUMWENA,06,BUMWENA B
181130307,181,MAYUGE,13,MALONGO,03,BUMWENA,07,NAKIGO A
181130308,181,MAYUGE,13,MALONGO,03,BUMWENA,08,NAKIGO B
181130309,181,MAYUGE,13,MALONGO,03,BUMWENA,09,NAMASONKO
181130310,181,MAYUGE,13,MALONGO,03,BUMWENA,10,NAWAMPONGO
181130311,181,MAYUGE,13,MALONGO,03,BUMWENA,11,BWAGU
181130312,181,MAYUGE,13,MALONGO,03,BUMWENA,12,NABWANGU
181130313,181,MAYUGE,13,MALONGO,03,BUMWENA,13,NAKALYANGO
181130314,181,MAYUGE,13,MALONGO,03,BUMWENA,14,BUKIZIBU A
181130315,181,MAYUGE,13,MALONGO,03,BUMWENA,15,BUKIZIBU B
181130316,181,MAYUGE,13,MALONGO,03,BUMWENA,16,BUSAMU
181130401,181,MAYUGE,13,MALONGO,04,MALONGO,01,KABUKA
181130402,181,MAYUGE,13,MALONGO,04,MALONGO,02,KABUKA BEACH
181130403,181,MAYUGE,13,MALONGO,04,MALONGO,03,KAYANJA BEACH
181130404,181,MAYUGE,13,MALONGO,04,MALONGO,04,KAYANJA VILLAGE
181130405,181,MAYUGE,13,MALONGO,04,MALONGO,05,MALONGO A T/C
181130406,181,MAYUGE,13,MALONGO,04,MALONGO,06,MALONGO B
181130407,181,MAYUGE,13,MALONGO,04,MALONGO,07,MALONGO B T/C
181130408,181,MAYUGE,13,MALONGO,04,MALONGO,08,MALONGO C
181130409,181,MAYUGE,13,MALONGO,04,MALONGO,09,MALONGO CENTRAL
181130410,181,MAYUGE,13,MALONGO,04,MALONGO,10,MALONGO D
181130411,181,MAYUGE,13,MALONGO,04,MALONGO,11,MALONGO EAST
181130412,181,MAYUGE,13,MALONGO,04,MALONGO,12,MALONGO INN
181130413,181,MAYUGE,13,MALONGO,04,MALONGO,13,MALONGO NORTH
181130414,181,MAYUGE,13,MALONGO,04,MALONGO,14,MALONGO UPPER
181130415,181,MAYUGE,13,MALONGO,04,MALONGO,15,MALONGO WEST
181130416,181,MAYUGE,13,MALONGO,04,MALONGO,16,MASAKA
181130417,181,MAYUGE,13,MALONGO,04,MALONGO,17,NANGO BEACH
181130418,181,MAYUGE,13,MALONGO,04,MALONGO,18,NANGO VILLAGE
181130501,181,MAYUGE,13,MALONGO,05,NAMADHI,01,NAMADHI A
181130502,181,MAYUGE,13,MALONGO,05,NAMADHI,02,NAMADHI B
181130503,181,MAYUGE,13,MALONGO,05,NAMADHI,03,NAMADHI BEACH
181130504,181,MAYUGE,13,MALONGO,05,NAMADHI,04,NAMADHI C
